Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Insulin,Antidiabetic,Increased alpha-glucosidase and aldose-reductase activity,Pharmacodynamic,Synergistic,Might Increase the Risk of Hypoglycemia,Moderate,"In Vivo Experiment, Double-Blind Randomized Placebo-Controlled Clinical Trial","PMID: 33920217 , PMID: 27255456",Monitor Blood Glucose level
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Metformin,Antidiabetic,Increased alpha-glucosidase and aldose-reductase activity,Pharmacodynamic,Synergistic,Might Increase the Risk of Hypoglycemia,Moderate,"In Vivo Experiment, Double-Blind Randomized Placebo-Controlled Clinical Trial","PMID: 33920217 , PMID: 27255456",Monitor Blood Glucose level
Gokshura,Tribulus terrestris,"Devil's Thorn, puncture vine","Protodioscin, harmane and norharmane, beta-sitosterols and stigmasterols",Tolbutamide,Antidiabetic,Increased alpha-glucosidase and aldose-reductase activity,Pharmacodynamic,Synergistic,Might Increase the Risk of Hypoglycemia,Moderate,"In Vivo Experiment, Double-Blind Randomized Placebo-Controlled Clinical Trial","PMID: 33920217 , PMID: 27255456",Monitor Blood Glucose level
Garlic (bulb),Allium sativum,Lahsun,Allicin,Saquinavir,Antiretroviral,"CYP 3A4 and P-gp induction",Pharmacokinetic,Not Specified,Increase or decrease levels of drugs metabolized by CYP3A4,Moderate (drug-dependent),"Clinical Trials, In vitro enzyme studies",https://doi.org/10.1016/S0009-9236(03)00148-6,Monitor for altered drug response
Garlic (bulb),Allium sativum,Lahsun,Allicin,Warfarin,Anticoagulant,"CYP 3A4 and P-gp induction",Pharmacokinetic,Not Specified,Increase or decrease levels of drugs metabolized by CYP3A4,Moderate (drug-dependent),"Clinical Trials, In vitro enzyme studies",https://doi.org/10.1016/S0009-9236(03)00148-6,Monitor for altered drug response
Garlic (bulb),Allium sativum,Lahsun,Allicin,Abemaciclib,Antineoplastic,"CYP 3A4 and P-gp induction",Pharmacokinetic,Not Specified,Increase or decrease levels of drugs metabolized by CYP3A4,Moderate (drug-dependent),"Clinical Trials, In vitro enzyme studies",https://doi.org/10.1016/S0009-9236(03)00148-6,Monitor for altered drug response
Garlic (bulb),Allium sativum,Lahsun,Allicin,Alprazolam,Anxiolytic,"CYP 3A4 and P-gp induction",Pharmacokinetic,Not Specified,Increase or decrease levels of drugs metabolized by CYP3A4,Moderate (drug-dependent),"Clinical Trials, In vitro enzyme studies",https://doi.org/10.1016/S0009-9236(03)00148-6,Monitor for altered drug response
Garlic (bulb),Allium sativum,Lahsun,Allicin,Atorvastatin,Antilipaemic,"CYP 3A4 and P-gp induction",Pharmacokinetic,Not Specified,Increase or decrease levels of drugs metabolized by CYP3A4,Moderate (drug-dependent),"Clinical Trials, In vitro enzyme studies",https://doi.org/10.1016/S0009-9236(03)00148-6,Monitor for altered drug response
Garlic (bulb),Allium sativum,Lahsun,Allicin,Pantoprazole,Proton Pump Inhibitor,"CYP 3A4 and P-gp induction",Pharmacokinetic,Not Specified,Increase or decrease levels of drugs metabolized by CYP3A4,Moderate (drug-dependent),"Clinical Trials, In vitro enzyme studies",https://doi.org/10.1016/S0009-9236(03)00148-6,Monitor for altered drug response
Arjuna,Terminalia arjuna,"Arjuna, Kakubha","Arjunic acid, arjunolic acid, oleanolic acid, terminic acid, Pyrocatechols, punicallin, punicalagin",Acetominaphen,NSAID,CYP1A1 and CYP1A2 inhibition,Pharmacokinetic,Synergistic / Toxicity,Increased concentration in the blood,Moderate,"Animal Studies, Invitro Studies",PMID: 24843187,Monitor for increased drug levels
Arjuna,Terminalia arjuna,"Arjuna, Kakubha","Arjunic acid, arjunolic acid, oleanolic acid, terminic acid, Pyrocatechols, punicallin, punicalagin",Amitryptiline,Antidepressant,CYP1A1 and CYP1A2 inhibition,Pharmacokinetic,Synergistic / Toxicity,Increased concentration in the blood,Moderate,"Animal Studies, Invitro Studies",PMID: 24843187,Monitor for increased drug levels
Arjuna,Terminalia arjuna,"Arjuna, Kakubha","Arjunic acid, arjunolic acid, oleanolic acid, terminic acid, Pyrocatechols, punicallin, punicalagin",Clozapine,Antipsychotic,CYP1A1 and CYP1A2 inhibition,Pharmacokinetic,Synergistic / Toxicity,Increased concentration in the blood,Moderate,"Animal Studies, Invitro Studies",PMID: 24843187,Monitor for increased drug levels
Arjuna,Terminalia arjuna,"Arjuna, Kakubha","Arjunic acid, arjunolic acid, oleanolic acid, terminic acid, Pyrocatechols, punicallin, punicalagin",Warfarin,Anticoagulant,CYP1A1 and CYP1A2 inhibition,Pharmacokinetic,Synergistic / Toxicity,Increased concentration in the blood,Moderate,"Animal Studies, Invitro Studies",PMID: 24843187,Monitor for increased drug levels
Baheda/Bahera,Terminalia bellirica,Bibhitaki,"gallic acid, ellagic acid, chebulagic acid, chebulinic acid, corilagin, and flavonoids.",Doxorubicin,Anticancer,Inhibits tumor cell growth,Pharmacokinetic,Synergistic,Beneficial Synergistic effect,Moderate,Invitro Studies,PMID: 18330936,Not Specified
Baheda/Bahera,Terminalia bellirica,Bibhitaki,"gallic acid, ellagic acid, chebulagic acid, chebulinic acid, corilagin, and flavonoids.",Cisplatin,Anticancer,Inhibits tumor cell growth,Pharmacokinetic,Synergistic,Beneficial Synergistic effect,Moderate,Invitro Studies,PMID: 18330936,Not Specified
Centella asiatica,Centella asiatica,"Gotu Kola, Mandukaparni, Vallarai","Triterpenic acids and glycosides",Omeprazole,PPI,CYP2C19 inhibition,Pharmacokinetic,Synergistic / Toxicity,Increased plasma concentrations,Moderate,Invitro Studies,DOI: 10.1016/j.jep.2010.11.026,Monitor for signs of toxicity
Centella asiatica,Centella asiatica,"Gotu Kola, Mandukaparni, Vallarai","Triterpenic acids and glycosides",Pantoprazole,PPI,CYP2C19 inhibition,Pharmacokinetic,Synergistic / Toxicity,Increased plasma concentrations,Moderate,Invitro Studies,DOI: 10.1016/j.jep.2010.11.026,Monitor for signs of toxicity
Guduchi,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones, Alkaloids, Glycosides, Sterols, Polysaccharides",Gliclazide,Antidiabetic,CYP2C9 inhibition,Pharmacokinetic,Enzyme inhibition,Increased bioavailability of gliclazide,Moderate to Severe,In vivo animal study,DOI:10.26650/IstanbulJPharm.2022.959603,Monitor for Hypoglycemia
Guduchi / Giloy,Tinospora cordifolia,"Guduchi, Giloy, Amrita","Diterpenoid lactones, Alkaloids, Glycosides, Sterols, Polysaccharides",Metformin,Antidiabetic,Organic Cation Transporter 2 (OCT2),Pharmacokinetic,Altered elimination,Significant increases in AUC and half-life,Moderate,Preclinical (animal study),DOI: https://doi.org/10.56042/ijnpr.v16i2.13564,Not Specified
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin",Guggulsterones,Prasugrel,Antiplatelet,Cytochrome P450 CYP3A4,Pharmacokinetic,CYP3A4 induction,Reduced efficacy; Increased bleeding risk,Moderate,animal studies,https://hellopharmacist.com,Monitor for bleeding
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin",Guggulsterones,Warfarin,Anticoagulant,CYP3A4 induction,PK / PD,Additive effects,Increased bleeding risk,Moderate,Literature review,https://www.benthamscience.com/article/150603,Avoid or monitor closely
Guggul,Commiphora wightii,"Indian Bdellium, Guggulu, Guggul gum resin",Guggulsterones,Aspirin,Antiplatelet,CYP3A4 induction,PK / PD,Additive effects,Increased bleeding risk,Moderate,Literature review,https://www.benthamscience.com/article/150603,Avoid or monitor closely
Cinnamon,"Cinnamomum verum, Cinnamomum cassia",Dalchini,"cinnamaldehyde, cinnamate, cinnamic acid",Anticoagulants,Anticoagulant,Inhibited arachidonic acid,Pharmacodynamic,Synergistic,Increased risk of bleeding,Minor,RCTs,https://doi.org/10.1111/j.1365-2125.2012.04350.x,Caution with blood thinners
Cinnamon,"Cinnamomum verum, Cinnamomum cassia",Dalchini,"cinnamaldehyde, cinnamate, cinnamic acid",Antidiabetics,Antidiabetic,Inhibited HMG-CoA activity,Pharmacodynamic,Synergistic,Increased risk of hypoglycaemia,Minor,RCTs,https://doi.org/10.1111/j.1365-2125.2012.04350.x,Caution with diabetes meds
Turmeric,Curcuma longa,Haldi,Curcumin,Ciprofloxacin,Antibiotics,Disruption of bacterial membrane,Pharmacodynamic,Synergistic,Enhanced efficacy against biofilms,Minor,Invitro,doi: 10.4103/0976-0105.183265,Potential benefit
Turmeric,Curcuma longa,Haldi,Curcumin,Gentamicin,Antibiotics,Disruption of bacterial membrane,Pharmacodynamic,Synergistic,Enhanced efficacy against biofilms,Minor,Invitro,doi: 10.4103/0976-0105.183265,Potential benefit
Turmeric,Curcuma longa,Haldi,Curcumin,Citalopram,SSRIs,Not Specified,Not Specified,Not Specified,Potential PK interaction,Moderate,Not Specified,Not Specified,Monitor therapeutic response
Turmeric,Curcuma longa,Haldi,Curcumin,Sertraline,SSRIs,Not Specified,Not Specified,Not Specified,Potential PK interaction,Moderate,Not Specified,Not Specified,Monitor therapeutic response
